META;;;;
separators;;;;
-;;;;
text;value;multipliable;limit;rank
zero;0;0;0.25;1
one;1;0;0;1
two;2;0;0.34;1
three;3;0;0.2;1
four;4;0;0;1
five;5;0;0.25;1
six;6;0;0.2;1
seven;7;0;0;1
eight;8;0;0.34;1
nine;9;0;0.34;1
ten;10;0;0.34;1
eleven;11;0;0.4;1
twelve;12;0;0.4;1
thirteen;13;1;0.4;1
fourteen;14;0;0.4;1
fifteen;15;0;0.4;1
sixteen;16;0;0.4;1
seventeen;17;0;0.4;1
eighteen;18;0;0.4;1
nineteen;19;0;0.4;1
twenty;20;0;0.4;2
thirty;30;0;0.4;2
forty;40;0;0;2
fifty;50;0;0.4;2
sixty;60;0;0.4;2
seventy;70;0;0.4;2
eighty;80;0;0.4;2
ninety;90;0;0.4;2
hundred;100;0;0.33;3
thousand;1000;1;0.25;4
million;1000000;1;0.43;7
billion;1000000000;1;0.375;10
trillion;1000000000000;1;0.375;13